ReefID,ReefArea(km-sq),Latitude,Longitude,type_assumption,ave_hcc,gravity_score,oldpen,typhprob,bleachprob,bioregion,matched,penalty,reefaream2
2666,4.87E-05,16.641,122.4,II,23.36254636,225,0.03,0.934782609,0.075744768,NPS,bioregprop,0.235218252,48.7
2418,9.89E-05,13.0068,121.76,VI,15.09497973,337,0.04,0.847826087,0.063686609,VS,bioregprop,0.25276299,98.9
1108,0.00023384,9.0027,117.28,I,5.20381916,8,0,0.369565217,0.061273424,WPS,bioregprop,0.090308999,233.84
3428,0.00035879,5.5115,125.2,I,10.569943,242,0.03,0.086956522,0.079905586,CS,bioregprop,0.238381537,358.79
2122,0.0016975,13.7073,120.64,I,15.66296077,242,0.03,0.891304348,0.066070452,WPS,nearest1,0.238381537,1697.5
2157,0.0016996,13.785,120.72,I,34.22941273,242,0.03,0.891304348,0.065086853,WPS,bioregprop,0.238381537,1699.6
2768,0.0018622,13.6296,122.8,I,16.56388044,643,0.05,0.869565217,0.068195081,VS,bioregprop,0.280821097,1862.2
3480,0.0019126,9.7131,125.36,I,45.22408031,242,0.03,0.630434783,0.067505604,VS,bioregprop,0.238381537,1912.6
908,0.0021051,11.7566,116.48,I,34.51424804,242,0.03,0.630434783,0.058874502,WPS,bioregprop,0.238381537,2105.1
2794,0.0026247,9.0027,122.96,Outlier,58.6108787,242,0.03,0.47826087,0.068342029,SS,bioregprop,0.238381537,2624.7
1967,0.0031665,13.6296,120.16,I,29.32591977,242,0.03,0.869565217,0.067285142,WPS,bioregprop,0.238381537,3166.5
3476,0.0032279,9.0817,125.36,I,35.33588404,242,0.03,0.565217391,0.072795821,VS,bioregprop,0.238381537,3227.9
3199,0.0032893,9.5554,124.16,I,38.14560538,1538,0.07,0.565217391,0.066066172,VS,bioregprop,0.318695634,3289.3
2704,0.0034335,10.2646,122.5601,Outlier,42.38007257,242,0.03,0.630434783,0.06131581,SS,bioregprop,0.238381537,3433.5
1228,0.0037779,9.5554,117.6801,I,15.15668384,242,0.03,0.391304348,0.064013627,WPS,bioregprop,0.238381537,3777.9
2638,0.0040525,16.4876,122.3199,I,31.57221999,268,0.03,0.934782609,0.074923323,NPS,bioregprop,0.242813479,4052.5
931,0.0050036,10.422,116.64,I,51.33385036,1,0,0.5,0.062400957,WPS,bioregprop,0,5003.6
2690,0.0050701,16.7942,122.48,II,16.50829292,216,0.03,0.956521739,0.076714527,NPS,bioregprop,0.233445375,5070.1
2645,0.005335,6.9429,122.4,IV,16.84311,161,0.03,0.130434783,0.069183629,CS,bioregprop,0.220682588,5335
2620,0.0053374,6.8635,122.3199,I,39.764723,199,0.03,0.108695652,0.069538907,CS,bioregprop,0.229885308,5337.4
1421,0.0054696,9.8708,118.24,VI,9.554413519,16,0,0.434782609,0.066268921,WPS,bioregprop,0.120411998,5469.6
1908,0.0064771,4.8741,120,I,25.591972,35,0,0.02173913,0.076357743,CS,nearest1,0.154406804,6477.1
2684,0.0074347,13.1627,122.48,I,32.85922644,242,0.03,0.869565217,0.065686581,VS,bioregprop,0.238381537,7434.7
2912,0.0074792,13.2406,123.28,I,26.17558161,654,0.05,0.869565217,0.066346913,VS,bioregprop,0.281557775,7479.2
1389,0.0083078,6.6252,118.16,I,43.69392686,242,0.03,0.086956522,0.070245557,SS,bioregprop,0.238381537,8307.8
2071,0.0091894,13.9404,120.48,I,35.75737057,242,0.03,0.891304348,0.065665181,WPS,nearest1,0.238381537,9189.4
1436,0.0091912,6.1482,118.3199,I,31.9686111,35,0,0.065217391,0.070773305,SS,bioregprop,0.154406804,9191.2
2458,0.0092939,13.1627,121.84,I,27.25594527,242,0.03,0.847826087,0.063383719,VS,bioregprop,0.238381537,9293.9
