type,have,coral,tau,ave,se,mmyr,bleachmortrate,typhmortrate,ks,percont,bleachmort,typhmort
I,26.6,Porites massive,pm,8.1,0.5,12.09745414,0.1,0.1,57.2,0.3,0.03,0.03
I,26.6,Acropora branching,ab,2.6,0.6,85.23480526,0.9,0.9,57.2,0.1,0.09,0.09
I,26.6,Porites branching,pb,1.9,0.2,24.81714286,0.2,0.2,57.2,0.07,0.014,0.014
I,26.6,Heliopora,h,0.9,0.2,-,0.1,0.1,57.2,0.03,0.003,0.003
I,26.6,Acropora corymbose,ab,0.9,0.1,36.03333333,0.8,0.8,57.2,0.03,0.024,0.024
I,26.6,Favites,fs,0.8,0.1,9.6,0.2,0.2,57.2,0.03,0.006,0.006
I,26.6,Acropora table,at,0.8,0.1,83.07,0.8,0.8,57.2,0.03,0.024,0.024
I,26.6,other encrusting corals,oe,0.8,0.1,2.425,0.2,0.2,57.2,0.03,0.006,0.006
I,26.6,Porites encrusting,pe,0.7,0.1,5.2,0.2,0.2,57.2,0.03,0.006,0.006
I,26.6,Seriatopora,s,0.6,0.1,19.455,0.5,0.5,57.2,0.02,0.01,0.01
II,18.7,Isopora,iso,5.1,1.6,19.075,0.9,0.2,37.12,0.27,0.243,0.054
II,18.7,other encrusting corals,oe,1.7,0.4,2.116666667,0.2,0.2,37.12,0.09,0.018,0.018
II,18.7,Favites,fs,1.7,0.4,9.6,0.2,0.2,37.12,0.09,0.018,0.018
II,18.7,Porites encrusting,pe,1.5,0.7,5.2,0.2,0.2,37.12,0.08,0.016,0.016
II,18.7,Porites massive,pm,1.1,0.3,12.09745414,0.1,0.1,37.12,0.06,0.006,0.006
II,18.7,Pocillopora,p,1.1,0.2,30.07850847,0.5,0.5,37.12,0.06,0.03,0.03
II,18.7,Acropora digitate,ad,1,0.2,30.8,0.7,0.7,37.12,0.05,0.035,0.035
II,18.7,Acropora corymbose,ac,0.8,0.3,36.03333333,0.8,0.8,37.12,0.04,0.032,0.032
II,18.7,Favia,fa,0.5,0.1,6.8145,0.2,0.2,37.12,0.03,0.006,0.006
II,18.7,Montipora encrusting,me,0.4,0.2,32.749767,0.2,0.2,37.12,0.02,0.004,0.004
III,38.5,Porites branching,pb,29.1,3.1,24.81714286,0.2,0.2,55.74,0.76,0.152,0.152
III,38.5,Porites encrusting,pe,4.1,1.7,5.2,0.2,0.2,55.74,0.11,0.022,0.022
III,38.5,Porites massive,pm,4.1,1.5,12.09745414,0.1,0.1,55.74,0.11,0.011,0.011
III,38.5,Heliopora,h,0.8,0.5,-,0.1,0.1,55.74,0.02,0.002,0.002
III,38.5,Echinopora,ec,0.7,0.5,-,0.2,0.2,55.74,0.02,0.004,0.004
III,38.5,Seriatopora,s,0.7,0.5,19.455,0.5,0.5,55.74,0.02,0.01,0.01
III,38.5,circular mushroom corals,mush,0.6,0.3,5.7,0.7,0.7,55.74,0.02,0.014,0.014
III,38.5,Isopora,iso,0.6,0.5,19.075,0.9,0.9,55.74,0.02,0.018,0.018
III,38.5,Diploastrea,dip,0.4,0.3,2.65,0.2,0.2,55.74,0.01,0.002,0.002
III,38.5,Acropora branching,ab,0.3,0.1,85.23480526,0.9,0.9,55.74,0.01,0.009,0.009
IV,18.3,Galaxea,ga,10.6,1.1,-,0.5,0.5,23.92,0.58,0.29,0.29
IV,18.3,Porites massive,pm,1.6,0.7,12.09745414,0.1,0.1,23.92,0.09,0.009,0.009
IV,18.3,Acropora branching,ab,1.5,1.5,85.23480526,0.9,0.9,23.92,0.08,0.072,0.072
IV,18.3,Porites branching,pb,1.3,1,24.81714286,0.2,0.2,23.92,0.07,0.014,0.014
IV,18.3,Goniopora,go,0.7,0.6,-,0.5,0.5,23.92,0.04,0.02,0.02
IV,18.3,Euphyllia,eu,0.4,0.3,-,0.5,0.5,23.92,0.02,0.01,0.01
IV,18.3,Heliopora,h,0.4,0.2,-,0.1,0.1,23.92,0.02,0.002,0.002
IV,18.3,Favites,fs,0.2,0.2,9.6,0.2,0.2,23.92,0.01,0.002,0.002
IV,18.3,other encrusting corals,oe,0.2,0.1,2.425,0.2,0.2,23.92,0.01,0.002,0.002
IV,18.3,other massive corals,om,0.2,0.1,7.896981132,0.2,0.2,23.92,0.01,0.002,0.002
V,4,Porites massive,pm,0.8,0.1,12.09745414,0.1,0.1,8.63,0.2,0.02,0.02
V,4,Favites,fs,0.3,0.1,9.6,0.2,0.2,8.63,0.08,0.016,0.016
V,4,other encrusting corals,oe,0.2,0.1,2.425,0.2,0.2,8.63,0.05,0.01,0.01
V,4,Acropora branching,ab,0.2,0.1,85.23480526,0.9,0.9,8.63,0.05,0.045,0.045
V,4,Pocillopora,p,0.2,0,30.07850847,0.5,0.5,8.63,0.05,0.025,0.025
V,4,Favia,fa,0.2,0,6.8145,0.2,0.2,8.63,0.05,0.01,0.01
V,4,Acropora corymbose,ac,0.2,0.1,36.03333333,0.8,0.8,8.63,0.05,0.04,0.04
V,4,Diploastrea,dip,0.1,0.1,2.65,0.2,0.2,8.63,0.03,0.006,0.006
V,4,Heliopora,h,0.1,0.1,-,0.1,0.1,8.63,0.03,0.003,0.003
V,4,other massive corals,om,0.1,0,7.896981132,0.2,0.2,8.63,0.03,0.006,0.006
VI,12.5,Heliopora,h,7.5,1.5,-,0.1,0.1,25.62,0.6,0.06,0.06
VI,12.5,Porites branching,pb,0.8,0.5,24.81714286,0.2,0.2,25.62,0.06,0.012,0.012
VI,12.5,Seriatopora,s,0.6,0.4,19.455,0.5,0.5,25.62,0.05,0.025,0.025
VI,12.5,Porites massive,pm,0.6,0.3,12.09745414,0.1,0.1,25.62,0.05,0.005,0.005
VI,12.5,other massive corals,om,0.3,0.2,7.896981132,0.2,0.2,25.62,0.02,0.004,0.004
VI,12.5,Echinopora,ec,0.3,0.3,-,0.2,0.2,25.62,0.02,0.004,0.004
VI,12.5,Pocillopora,p,0.2,0.2,30.07850847,0.5,0.5,25.62,0.02,0.01,0.01
VI,12.5,Favia,fa,0.2,0.1,6.8145,0.2,0.2,25.62,0.02,0.004,0.004
VI,12.5,other encrusting corals,oe,0.2,0.1,2.425,0.2,0.2,25.62,0.02,0.004,0.004
VI,12.5,other branching corals,ob,0.2,0.1,18.42433333,0.9,0.9,25.62,0.02,0.018,0.018
VII,0.5,Porites massive,pm,0.07,0.02,12.09745414,0.1,0.1,0.96,0.14,0.014,0.014
VII,0.5,Favites,fs,0.06,0.03,9.6,0.2,0.2,0.96,0.12,0.024,0.024
VII,0.5,Astreopora,a,0.06,0.04,10.25,0.2,0.2,0.96,0.12,0.024,0.024
VII,0.5,other massive corals,om,0.06,0.02,7.896981132,0.2,0.2,0.96,0.12,0.024,0.024
VII,0.5,Porites branching,pb,0.05,0.05,24.81714286,0.2,0.2,0.96,0.1,0.02,0.02
